Product,Online,Online Buzzwords,Desktop,Desktop Buzzwords,Enterprise,Enterprise Buzzwords,SDK,SDK Buzzwords,Data Management,Data Management Buzzwords,Implementation,Implementation Buzzwords,Professional Services,Professional Services Buzzwords,Support Method,Reference
AppStudio for ArcGIS,Online - Apps,geoenabled; cross-platform apps; native apps; templates; no code; make tool; ,,,Enterprise - Apps,geoenabled; cross-platform apps; native apps; templates; no code; make tool; ,SDK - Runtime,geoenabled; cross-platform apps; native apps; templates; no code; make tool; qml; qt;,,,,,,,Support Services,
ArcGIS 3D Analyst,,,Pro - Ext,digital elevation model; dem; extrude; 3d analysis; tin; slope; aspect; terrain analysis; landscape; virtual city; multipatch; animations;,Enterprise - Ext,digital elevation model; dem; extrude; 3d analysis; tin; slope; aspect; terrain analysis; landscape; virtual city; multipatch; animations;,,,,,,,,,Support Services,
ArcGIS Analytics for IoT,,,,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS API for JavaScript,,,,,,,SDK - Web,,,,,,,,Support Services,
ArcGIS API for Python,Online - Core,,,,Enterprise - Core,,,,,,,,,,Support Services,
ArcGIS Business Analyst Desktop,,,Pro - Ext,,,,,,,,ArcMap - Setup,,,,Support Services,
ArcGIS Business Analyst Enterprise,,,,,Enterprise - Ext,,,,,,Enterprise - Setup,,,,Support Services,
ArcGIS Business Analyst Mobile App,Online - Apps,,,,,,,,,,,,,,Support Services,
ArcGIS Business Analyst Web App,Online - Apps,,,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Community Analyst,Online - Apps,,,,,,,,,,,,,,Support Services,
ArcGIS Data Interoperability,,,Pro - Ext,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Data Reviewer,,,Pro - Ext,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Desktop,,,ArcMap,,,,,,Pro - Data,,ArcMap - Setup,,,,Support Services,
ArcGIS Earth,,,Pro - Core,,,,,,,,,,,,Support Services,
ArcGIS Editor for OpenStreetMap,,,,,,,,,,,,,,,GitHub Support,https://github.com/Esri/arcgis-osm-editor
ArcGIS Engine,,,,,,,SDK - Native,,,,,,,,Support Services,
ArcGIS Enterprise,,,,,Enterprise - Core,,,,Enterprise - Data,,Enterprise - Setup,,,,Support Services,
ArcGIS Excalibur,,,,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS Experience Builder,Online - Apps,,,,,,SDK - Web,,,,,,,,Support Services,
ArcGIS for AutoCAD,,,Pro - Core,,Enterprise - Ext,,,,,,,,,,Support Services,
ArcGIS for Aviation: Airports,,,Pro - Ext,,Enterprise - Ext,,,,,,,,,,Support and Professional Services,https://esri.lightning.force.com/lightning/r/Technical_Article__kav/ka1f20000001GUVAA2/view
ArcGIS for Aviation: Charting,,,Pro - Ext,,Enterprise - Ext,,,,,,,,,,Support and Professional Services,https://esri.lightning.force.com/lightning/r/Technical_Article__kav/ka1f20000001GUVAA2/view
ArcGIS for Defense,Online - Core,Solution configuration; add-in setup; templates; workflows; defense; military; mission critical; intelligence; force,Pro - Core,Solution configuration; add-in setup; templates; workflows; defense; military; mission critical; intelligence; force,Enterprise - Core,Solution configuration; add-in setup; templates; workflows; defense; military; mission critical; intelligence; force,,,Pro - Data,,,,,,Support Services,
ArcGIS for Electric Utilities,Online - Core,Solution configuration; add-in setup; templates; workflows; electricity; electric; distribution; transmission; generation; network; public outage; feeder;,Pro - Core,Solution configuration; add-in setup; templates; workflows; electricity; electric; distribution; transmission; generation; network; public outage; feeder;,Enterprise - Core,Solution configuration; add-in setup; templates; workflows; electricity; electric; distribution; transmission; generation; network; public outage; feeder;,,,Enterprise - Data,SQL Server; Oracle; PostgreSQL; SAP HANA; Connecting; Feature Services; Replication; Offline Editing; Geometric or Utility Network; Branch Versioning; electricity; electric; distribution; transmission; generation; network; public outage; feeder;,,,,,Support Services,
ArcGIS for Emergency Management,Online - Core,Solution configuration; add-in setup; templates; workflows; preparedness; response; recover; mitigation; debris; special needs; damage assessment; critical facilities; resiliance; hazard; community impact; situational awareness; incident; ,Pro - Core,Solution configuration; add-in setup; templates; workflows; preparedness; response; recover; mitigation; debris; special needs; damage assessment; critical facilities; resiliance; hazard; community impact; situational awareness; incident; ,Enterprise - Core,Solution configuration; add-in setup; templates; workflows; preparedness; response; recover; mitigation; debris; special needs; damage assessment; critical facilities; resiliance; hazard; community impact; situational awareness; incident; ,,,Pro - Data,,,,,,Support Services,
ArcGIS for Gas Utilities,Online - Core,Solution configuration; add-in setup; templates; workflows; gas; natural gas; distribution; transmission; generation; network; public outage; feeder; leak; pipeline; as-built;,Pro - Core,Solution configuration; add-in setup; templates; workflows; gas; natural gas; distribution; transmission; generation; network; public outage; feeder; leak; pipeline; as-built;,Enterprise - Core,Solution configuration; add-in setup; templates; workflows; gas; natural gas; distribution; transmission; generation; network; public outage; feeder; leak; pipeline; as-built;,,,Enterprise - Data,SQL Server; Oracle; PostgreSQL; SAP HANA; Connecting; Feature Services; Replication; Offline Editing; Geometric or Utility Network; Branch Versioning; gas; natural gas; distribution; transmission; generation; network; public outage; feeder; leak; pipeline; as-built;,,,,,Support Services,
ArcGIS for INSPIRE,,,,,,,,,,,,,Solutions - Products,,Product Team Support,https://esri.lightning.force.com/lightning/r/Technical_Article__kav/ka1f20000001GUVAA2/view
