Product - Technology,Buzzwords, 
ArcGIS Business Analyst Mobile App - Online,Demographics; Geo-Enrichment; Territory design; Business Locations; Drive times; Reports; Trade Areas; Community Analyst Online; Fusion reports; Tapestry; Model Builder, 
ArcGIS Online (Esri Admin Workflows) - Desktop,Arcade; ArcToolbox; Attribute Assistant; Bing; Buffer; Crashes; Creating and editing Attributes; Data driven pages; Geodatabases; Domains/Subtypes; Geocoding/Address Locator; Geoprocessing; Metadata; Model Builder; Python; XY Coordinates, 
ArcGIS API for JavaScript - Online,Jupyter; Notebooks, 
ArcGIS API for JavaScript - Enterprise,Jupyter; Notebooks, 
ArcGIS API for Python - Desktop,ArcMap or ArcGIS Pro - Business Analyst, 
ArcGIS 3D Analyst - Desktop,ArcMap or ArcGIS Pro - 3D Analyst extension, 
ArcGIS 3D Analyst - Enterprise,ArcGIS Server - 3D Analyst extension, 
ArcGIS Business Analyst Desktop - Enterprise,ArcGIS Enterprise - Business Analyst Server Role, 
ArcGIS Community Analyst - Desktop,ArcMap and ArcGIS Pro - Data Interopability extension; Workbench; FME; Safe software, 
ArcGIS Data Interoperability - Desktop,ArcMap or ArcGIS Pro - Data Reviewer extension, 
ArcGIS Data Reviewer - Desktop,ArcMap; ArcCatalog - ArcToolbox; Attribute Assistant; Bing; Buffer; Crashes; Creating and editing Attributes; Data driven pages; Geodatabases; Domains/Subtypes; Geocoding/Address Locator; Geoprocessing; Metadata; Model Builder; Python; XY; Raster, 
ArcGIS Community Analyst - Enterprise,ArcGIS Server - Data Interopability extension; Workbench; FME; Safe software, 
ArcGIS Data Interoperability - Enterprise,ArcGIS Server - Data Reviewer extension, 
ArcGIS Engine - Enterprise,ArcGIS GIS Server; Portal for ArcGIS; ArcGIS Data Store; Web Adaptor; publishing; sharing; consuming services; hosted feature layers; register data store; federation; REST; Python; geoprocessing services, 
ArcGIS for INSPIRE - Data Management,ArcMap or ArcGIS Pro - SQL Server; Oracle; PostgreSQL; SAP HANA; Connecting; Administering; Editing; Versioning; Reconcile/Post; Views; Query Layers; Locks; Indexes, 
